# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalNativeBytesReclaimed,1744170915183000000,1744170954358000000,24576
FilePageCacheLockFree.housekeeperTimeSpentMs,1744170915183000000,1744170954358000000,457
FilePageCache.pageFastCacheHits,1744170915183000000,1744170954358000000,13316
FilePageCacheLockFree.nativeBytesInUse,1744170915183000000,1744170954358000000,0
FilePageCache.disposedBuffers,1744170915183000000,1744170954358000000,192
FilePageCacheLockFree.totalPageAllocationsWaited,1744170915183000000,1744170954358000000,0
StorageLockContext.competingThreads.avg,1744170915183000000,1744170954358000000,0.0
FilePageCacheLockFree.housekeeperTurnsSkipped,1744170915183000000,1744170954358000000,29159
DirectByteBufferAllocator.reclaimed,1744170915183000000,1744170954358000000,46
FilePageCache.pageLoadsAboveSizeThreshold,1744170915183000000,1744170954358000000,0
FilePageCache.maxCacheSizeInBytes,1744170915183000000,1744170954358000000,198180864
FilePageCacheLockFree.totalPagesWriteMs,1744170915183000000,1744170954358000000,1
FilePageCacheLockFree.heapBytesInUse,1744170915183000000,1744170954358000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1744170915183000000,1744170954358000000,24576
MappedFileStorage.totalTimeSpentOnMappingUs,1744170915183000000,1744170954358000000,3129734
FilePageCacheLockFree.totalBytesRead,1744170915183000000,1744170954358000000,0
FilePageCacheLockFree.totalBytesRequested,1744170915183000000,1744170954358000000,2260992
FilePageCacheLockFree.totalPagesAllocated,1744170915183000000,1744170954358000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744170915183000000,1744170954358000000,41967616
MappedFileStorage.storages,1744170915183000000,1744170954358000000,0
DirectByteBufferAllocator.hits,1744170915183000000,1744170954358000000,3
DirectByteBufferAllocator.misses,1744170915183000000,1744170954358000000,192
FilePageCacheLockFree.totalPagesReclaimed,1744170915183000000,1744170954358000000,3
FilePageCache.maxRegisteredFiles,1744170915183000000,1744170954358000000,520
FilePageCache.totalPageLoadsUs,1744170915183000000,1744170954358000000,1099631
