# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1744171918228000000,1744171948255000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1744171918228000000,1744171948255000000,0
workspaceModel.global.updates.ms,1744171918228000000,1744171948255000000,0
jps.save.global.entities.ms,1744171918228000000,1744171948255000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1744171918228000000,1744171948255000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1744171918228000000,1744171948255000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1744171918228000000,1744171948255000000,0
workspaceModel.global.apply.state.to.project.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1744171918228000000,1744171948255000000,0
workspaceModel.load.cache.from.file.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1744171918228000000,1744171948255000000,0
jps.library.entities.serializer.save.entities.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1744171918228000000,1744171948255000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1744171918228000000,1744171948255000000,0
workspaceModel.sync.entities.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.entities.ms,1744171918228000000,1744171948255000000,8
jps.load.initial.state.ms,1744171918228000000,1744171948255000000,17
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1744171918228000000,1744171948255000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1744171918228000000,1744171948255000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1744171918228000000,1744171948255000000,0
FlushQueue.queueSize90P,1744171918228000000,1744171948255000000,1231
FlushQueue.executionTimeAvgNs,1744171918228000000,1744171948255000000,1314568.9683698297
FlushQueue.waitingTime90PNs,1744171918228000000,1744171948255000000,13824425983
FlushQueue.queueSizeAvg,1744171918228000000,1744171948255000000,686.9622871046229
AWTEventQueue.eventsDispatched,1744171918228000000,1744171948255000000,2644
AWTEventQueue.dispatchTimeTotalNS,1744171918228000000,1744171948255000000,5014207050
AWTEventQueue.dispatchTimeAvgNs,1744171918228000000,1744171948255000000,1895747.7821482602
FlushQueue.executionTimeMaxNs,1744171918228000000,1744171948255000000,583008255
FlushQueue.executionTime90PNs,1744171918228000000,1744171948255000000,733183
FlushQueue.waitingTimeMaxNs,1744171918228000000,1744171948255000000,17985175551
NonBlockingReadAction.finalizedExecutionsCount,1744171918228000000,1744171948255000000,7
WriteAction.executionsCount,1744171918228000000,1744171948255000000,4
NonBlockingReadAction.failedExecutionsCount,1744171918228000000,1744171948255000000,0
FlushQueue.tasksExecuted,1744171918228000000,1744171948255000000,1644
FlushQueue.waitingTimeAvgNs,1744171918228000000,1744171948255000000,6.542799869197081E9
NonBlockingReadAction.finalizedExecutionTimeUs,1744171918228000000,1744171948255000000,25649
FlushQueue.queueSizeMax,1744171918228000000,1744171948255000000,1351
AWTEventQueue.dispatchTime90PNs,1744171918228000000,1744171948255000000,323583
NonBlockingReadAction.failedExecutionTimeUs,1744171918228000000,1744171948255000000,0
AWTEventQueue.dispatchTimeMaxNs,1744171918228000000,1744171948255000000,2113929215
ReadAction.executionsCount,1744171918228000000,1744171948255000000,118993
Indexes.entries.lookupDurationMaxMs,1744171918228000000,1744171948255000000,8.0
Indexes.stubs.lookupDuration90PMs,1744171918228000000,1744171948255000000,0.0
Indexes.entries.lookupDuration90PMs,1744171918228000000,1744171948255000000,8.0
Indexes.allKeys.lookupDurationAvgMs,1744171918228000000,1744171948255000000,0.0
Indexes.entries.lookups,1744171918228000000,1744171948255000000,1.0
Indexes.entries.lookupDurationAvgMs,1744171918228000000,1744171948255000000,8.0
Indexes.stubs.lookups,1744171918228000000,1744171948255000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1744171918228000000,1744171948255000000,0.0
Indexes.stubs.lookupDurationAvgMs,1744171918228000000,1744171948255000000,0.0
Indexes.allKeys.lookupDuration90PMs,1744171918228000000,1744171948255000000,0.0
Indexes.stubs.lookupDurationMaxMs,1744171918228000000,1744171948255000000,0.0
Indexes.allKeys.lookups,1744171918228000000,1744171948255000000,0.0
