# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeAvgNs,1744180360385000000,1744180398735000000,0.0
FlushQueue.executionTimeAvgNs,1744180360385000000,1744180398735000000,0.0
FlushQueue.waitingTime90PNs,1744180360385000000,1744180398735000000,0
NonBlockingReadAction.failedExecutionTimeUs,1744180360385000000,1744180398735000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1744180360385000000,1744180398735000000,49115
FlushQueue.waitingTimeAvgNs,1744180360385000000,1744180398735000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1744180360385000000,1744180398735000000,3445843831
NonBlockingReadAction.failedExecutionsCount,1744180360385000000,1744180398735000000,0
FlushQueue.tasksExecuted,1744180360385000000,1744180398735000000,0
WriteAction.executionsCount,1744180360385000000,1744180398735000000,4
NonBlockingReadAction.finalizedExecutionsCount,1744180360385000000,1744180398735000000,7
ReadAction.executionsCount,1744180360385000000,1744180398735000000,118993
FlushQueue.executionTimeMaxNs,1744180360385000000,1744180398735000000,0
AWTEventQueue.dispatchTime90PNs,1744180360385000000,1744180398735000000,0
FlushQueue.executionTime90PNs,1744180360385000000,1744180398735000000,0
AWTEventQueue.dispatchTimeMaxNs,1744180360385000000,1744180398735000000,0
AWTEventQueue.eventsDispatched,1744180360385000000,1744180398735000000,0
FlushQueue.waitingTimeMaxNs,1744180360385000000,1744180398735000000,0
FlushQueue.queueSizeMax,1744180360385000000,1744180398735000000,0
FlushQueue.queueSize90P,1744180360385000000,1744180398735000000,0
FlushQueue.queueSizeAvg,1744180360385000000,1744180398735000000,0.0
workspaceModel.collect.changes.ms,1744180360385000000,1744180398735000000,0
workspaceModel.loading.total.ms,1744180360385000000,1744180398735000000,141
workspaceModel.init.bridges.ms,1744180360385000000,1744180398735000000,0
workspaceModel.pre.handlers.ms,1744180360385000000,1744180398735000000,0
workspaceModel.check.recursive.update.ms,1744180360385000000,1744180398735000000,0
workspaceModel.updates.ms,1744180360385000000,1744180398735000000,0
workspaceModel.updates.count,1744180360385000000,1744180398735000000,0
workspaceModel.to.snapshot.ms,1744180360385000000,1744180398735000000,0
workspaceModel.initializing.ms,1744180360385000000,1744180398735000000,0
workspaceModel.loading.from.cache.ms,1744180360385000000,1744180398735000000,98
workspaceModel.update.unloaded.entities.ms,1744180360385000000,1744180398735000000,0
workspaceModel.replace.project.model.ms,1744180360385000000,1744180398735000000,0
workspaceModel.updates.precise.ms,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalPagesReclaimed,1744180360385000000,1744180398735000000,3
FilePageCache.disposedBuffers,1744180360385000000,1744180398735000000,192
FilePageCacheLockFree.totalPagesAllocated,1744180360385000000,1744180398735000000,3
StorageLockContext.competingThreads.avg,1744180360385000000,1744180398735000000,0.0
FilePageCacheLockFree.totalHeapBytesAllocated,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1744180360385000000,1744180398735000000,6
StorageLockContext.competingThreads.90P,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1744180360385000000,1744180398735000000,440
FilePageCacheLockFree.nativeBytesInUse,1744180360385000000,1744180398735000000,0
MappedFileStorage.storages,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalPagesReadMs,1744180360385000000,1744180398735000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1744180360385000000,1744180398735000000,24576
FilePageCache.capacityInBytes,1744180360385000000,1744180398735000000,503316478
FilePageCacheLockFree.totalPagesWritten,1744180360385000000,1744180398735000000,0
FilePageCache.pageLoads,1744180360385000000,1744180398735000000,192
FilePageCacheLockFree.totalNativeBytesAllocated,1744180360385000000,1744180398735000000,24576
FilePageCacheLockFree.housekeeperTurnsSkipped,1744180360385000000,1744180398735000000,28342
FilePageCacheLockFree.totalHeapBytesReclaimed,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalPagesWriteMs,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.heapBytesInUse,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744180360385000000,1744180398735000000,2
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744180360385000000,1744180398735000000,41967616
FilePageCacheLockFree.totalPagesRequested,1744180360385000000,1744180398735000000,83
DirectByteBufferAllocator.reclaimed,1744180360385000000,1744180398735000000,46
DirectByteBufferAllocator.misses,1744180360385000000,1744180398735000000,192
FilePageCache.pageFastCacheHits,1744180360385000000,1744180398735000000,3796
FilePageCacheLockFree.totalPagesHandedOver,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.totalBytesRead,1744180360385000000,1744180398735000000,16673
MappedFileStorage.totalBytesMapped,1744180360385000000,1744180398735000000,0
FilePageCache.maxCacheSizeInBytes,1744180360385000000,1744180398735000000,198180864
FilePageCache.totalPageDisposalsUs,1744180360385000000,1744180398735000000,6274
FilePageCache.totalPageLoadsUs,1744180360385000000,1744180398735000000,1420924
FilePageCacheLockFree.totalPageAllocationsWaited,1744180360385000000,1744180398735000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1744180360385000000,1744180398735000000,78
FilePageCache.uncachedFileAccess,1744180360385000000,1744180398735000000,114
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744180360385000000,1744180398735000000,41967616
FilePageCacheLockFree.totalBytesWritten,1744180360385000000,1744180398735000000,0
FilePageCache.maxRegisteredFiles,1744180360385000000,1744180398735000000,520
FileChannelInterruptsRetryer.totalRetriedAttempts,1744180360385000000,1744180398735000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1744180360385000000,1744180398735000000,0
