# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDuration90PMs,1744180466817000000,1744180495644000000,0.0
Indexes.entries.lookupDurationAvgMs,1744180466817000000,1744180495644000000,0.0
Indexes.stubs.lookupDurationMaxMs,1744180466817000000,1744180495644000000,0.0
Indexes.stubs.lookupDuration90PMs,1744180466817000000,1744180495644000000,0.0
Indexes.stubs.lookups,1744180466817000000,1744180495644000000,0.0
Indexes.allKeys.lookups,1744180466817000000,1744180495644000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1744180466817000000,1744180495644000000,0.0
Indexes.entries.lookupDuration90PMs,1744180466817000000,1744180495644000000,0.0
Indexes.entries.lookups,1744180466817000000,1744180495644000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1744180466817000000,1744180495644000000,0.0
Indexes.entries.lookupDurationMaxMs,1744180466817000000,1744180495644000000,0.0
Indexes.stubs.lookupDurationAvgMs,1744180466817000000,1744180495644000000,0.0
workspaceModel.global.updates.count,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1744180466817000000,1744180495644000000,0
jps.global.handle.changed.events.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1744180466817000000,1744180495644000000,0
jps.global.get.libraries.ms,1744180466817000000,1744180495644000000,26
workspaceModel.mutableEntityStorage.has.same.entities.ms,1744180466817000000,1744180495644000000,0
jps.global.get.library.by.name.ms,1744180466817000000,1744180495644000000,0
jps.save.global.entities.ms,1744180466817000000,1744180495644000000,0
workspaceModel.load.cache.from.file.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1744180466817000000,1744180495644000000,0
jps.app.storage.content.reader.load.component.ms,1744180466817000000,1744180495644000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1744180466817000000,1744180495644000000,0
jps.global.initialize.library.bridges.ms,1744180466817000000,1744180495644000000,0
jps.global.initialize.library.bridges.after.loading.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1744180466817000000,1744180495644000000,0
jps.global.handle.before.change.events.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1744180466817000000,1744180495644000000,0
workspaceModel.load.cache.metadata.from.file.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1744180466817000000,1744180495644000000,0
workspaceModel.global.apply.state.to.project.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1744180466817000000,1744180495644000000,0
jps.load.initial.state.ms,1744180466817000000,1744180495644000000,13
jps.library.entities.serializer.load.entities.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1744180466817000000,1744180495644000000,0
workspaceModel.sync.entities.ms,1744180466817000000,1744180495644000000,0
workspaceModel.save.cache.to.file.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1744180466817000000,1744180495644000000,0
jps.global.get.library.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1744180466817000000,1744180495644000000,0
jps.library.entities.serializer.save.entities.ms,1744180466817000000,1744180495644000000,0
workspaceModel.global.updates.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1744180466817000000,1744180495644000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1744180466817000000,1744180495644000000,0
workspaceModel.mutableEntityStorage.entities.ms,1744180466817000000,1744180495644000000,2
workspaceModel.update.unloaded.entities.ms,1744180466817000000,1744180495644000000,0
workspaceModel.updates.ms,1744180466817000000,1744180495644000000,0
workspaceModel.updates.count,1744180466817000000,1744180495644000000,0
workspaceModel.pre.handlers.ms,1744180466817000000,1744180495644000000,0
workspaceModel.updates.precise.ms,1744180466817000000,1744180495644000000,0
workspaceModel.replace.project.model.ms,1744180466817000000,1744180495644000000,0
workspaceModel.initializing.ms,1744180466817000000,1744180495644000000,0
workspaceModel.loading.from.cache.ms,1744180466817000000,1744180495644000000,74
workspaceModel.check.recursive.update.ms,1744180466817000000,1744180495644000000,0
workspaceModel.loading.total.ms,1744180466817000000,1744180495644000000,105
workspaceModel.init.bridges.ms,1744180466817000000,1744180495644000000,0
workspaceModel.to.snapshot.ms,1744180466817000000,1744180495644000000,0
workspaceModel.collect.changes.ms,1744180466817000000,1744180495644000000,0
FilePageCache.pageFastCacheHits,1744180466817000000,1744180495644000000,3796
StorageLockContext.competingThreads.max,1744180466817000000,1744180495644000000,0
StorageLockContext.competingThreads.90P,1744180466817000000,1744180495644000000,0
FilePageCacheLockFree.totalPagesReadMs,1744180466817000000,1744180495644000000,4
FilePageCacheLockFree.totalPagesRequested,1744180466817000000,1744180495644000000,83
FilePageCacheLockFree.totalNativeBytesReclaimed,1744180466817000000,1744180495644000000,24576
FilePageCache.totalPageLoadsUs,1744180466817000000,1744180495644000000,1038189
FilePageCache.pageLoadsAboveSizeThreshold,1744180466817000000,1744180495644000000,0
FilePageCache.maxRegisteredFiles,1744180466817000000,1744180495644000000,520
MappedFileStorage.totalPagesMapped,1744180466817000000,1744180495644000000,0
FilePageCacheLockFree.totalPagesWriteMs,1744180466817000000,1744180495644000000,0
DirectByteBufferAllocator.hits,1744180466817000000,1744180495644000000,3
FilePageCache.uncachedFileAccess,1744180466817000000,1744180495644000000,114
FilePageCache.capacityInBytes,1744180466817000000,1744180495644000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1744180466817000000,1744180495644000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744180466817000000,1744180495644000000,41967616
MappedFileStorage.totalTimeSpentOnMappingUs,1744180466817000000,1744180495644000000,1312
FilePageCacheLockFree.totalBytesRead,1744180466817000000,1744180495644000000,16673
StorageLockContext.competingThreads.avg,1744180466817000000,1744180495644000000,0.0
FilePageCacheLockFree.totalPageAllocationsWaited,1744180466817000000,1744180495644000000,0
FilePageCacheLockFree.totalBytesRequested,1744180466817000000,1744180495644000000,679936
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744180466817000000,1744180495644000000,2
DirectByteBufferAllocator.misses,1744180466817000000,1744180495644000000,192
FilePageCacheLockFree.totalNativeBytesAllocated,1744180466817000000,1744180495644000000,24576
